date,SPX.GI,GC00Y.CMX
2015-11-09,2078.58,1090.7
2015-11-10,2081.72,1087.9
2015-11-11,2075,1084.2
2015-11-12,2045.97,1083.5
2015-11-13,2023.04,1081.3
2015-11-16,2053.19,1081.3
2015-11-17,2050.44,1068.6
2015-11-18,2083.58,1070.1
2015-11-19,2081.24,1081.4
2015-11-20,2089.17,1076.8
2015-11-23,2086.59,1068.1
2015-11-24,2089.14,1075.2
2015-11-25,2088.87,1070.4
2015-11-27,2090.11,1055.9
2015-11-30,2080.41,1064.1
2015-12-01,2102.63,1069.2
2015-12-02,2079.51,1052.1
2015-12-03,2049.62,1062.2
2015-12-04,2091.69,1086.6
2015-12-07,2077.07,1071
2015-12-08,2063.59,1074.5
2015-12-09,2047.62,1073.5
2015-12-10,2052.23,1072.6
2015-12-11,2012.37,1077.8
2015-12-14,2021.94,1064.7
2015-12-15,2043.41,1061.8
2015-12-16,2073.07,1073
2015-12-17,2041.89,1051.9
2015-12-18,2005.52,1065.4
2015-12-21,2021.15,1078.5
2015-12-22,2037.89,1071.9
2015-12-23,2064.29,1068.8
2015-12-24,2060.99,1075.8
2015-12-28,2056.5,1067.7
2015-12-29,2078.36,1067.7
2015-12-30,2063.36,1060.5
2015-12-31,2043.94,1059.8
2016-01-04,2012.66,1073.5
2016-01-05,2016.71,1077.6
2016-01-06,1990.26,1092.8
2016-01-07,1943.09,1109
2016-01-08,1922.03,1103.2
2016-01-11,1923.67,1094.8
2016-01-12,1938.68,1089.9
2016-01-13,1890.28,1093.4
2016-01-14,1921.84,1077.1
2016-01-15,1880.29,1088.7
2016-01-19,1881.33,1086.6
2016-01-20,1859.33,1101.2
2016-01-21,1868.99,1101.8
2016-01-22,1906.9,1098.4
2016-01-25,1877.08,1108.9
2016-01-26,1903.63,1122.2
2016-01-27,1882.95,1125.3
2016-01-28,1893.36,1114.3
2016-01-29,1940.24,1117.6
2016-02-01,1939.38,1129.3
2016-02-02,1903.03,1130
2016-02-03,1912.53,1142.8
2016-02-04,1915.45,1156.7
2016-02-05,1880.02,1173.6
2016-02-08,1853.44,1189.7
2016-02-09,1852.21,1189.3
2016-02-10,1851.86,1197
2016-02-11,1829.08,1247
2016-02-12,1864.78,1239.1
2016-02-16,1895.58,1200.5
2016-02-17,1926.82,1207.8
2016-02-18,1917.83,1235.4
2016-02-19,1917.78,1228.3
2016-02-22,1945.5,1208.3
2016-02-23,1921.27,1225.9
2016-02-24,1929.8,1230.4
2016-02-25,1951.7,1235
2016-02-26,1948.05,1224.2
2016-02-29,1932.23,1239.3
2016-03-01,1978.35,1232
2016-03-02,1986.45,1241.3
2016-03-03,1993.4,1263.7
2016-03-04,1999.99,1261.9
2016-03-07,2001.76,1267.7
2016-03-08,1979.26,1262.4
2016-03-09,1989.26,1251.8
2016-03-10,1989.57,1272
2016-03-11,2022.19,1251
2016-03-14,2019.64,1236
2016-03-15,2015.93,1232.8
2016-03-16,2027.22,1263.1
2016-03-17,2040.59,1258.6
2016-03-18,2049.56,1256
2016-03-21,2051.6,1244.1
2016-03-22,2049.8,1248.8
2016-03-23,2036.71,1220.1
2016-03-24,2035.94,1216.7
2016-03-28,2037.05,1221.8
2016-03-29,2055.01,1242.5
2016-03-30,2063.95,1225
2016-03-31,2059.74,1233.4
2016-04-01,2072.78,1222.5
2016-04-04,2066.13,1215.9
2016-04-05,2045.17,1230.6
2016-04-06,2066.66,1223.6
2016-04-07,2041.91,1241
2016-04-08,2047.6,1239.5
2016-04-11,2041.99,1256.4
2016-04-12,2061.72,1255.9
2016-04-13,2082.42,1243.9
2016-04-14,2082.78,1227.4
2016-04-15,2080.73,1234.2
2016-04-18,2094.34,1232.2
2016-04-19,2100.8,1251.8
2016-04-20,2102.4,1245.8
2016-04-21,2091.48,1249.5
2016-04-22,2091.58,1233.7
2016-04-25,2087.79,1239.4
2016-04-26,2091.7,1244.8
2016-04-27,2095.15,1247.3
2016-04-28,2075.81,1268.1
2016-04-29,2065.3,1294.9
2016-05-02,2081.43,1293.4
2016-05-03,2063.37,1288.2
2016-05-04,2051.12,1281.5
2016-05-05,2050.63,1279.6
2016-05-06,2057.14,1289.7
2016-05-09,2058.69,1265.4
2016-05-10,2084.39,1267.3
2016-05-11,2064.46,1278.7
2016-05-12,2064.11,1264.7
2016-05-13,2046.61,1274.3
2016-05-16,2066.66,1275.5
2016-05-17,2047.21,1280.3
2016-05-18,2047.63,1259.5
2016-05-19,2040.04,1255.7
2016-05-20,2052.32,1252.9
2016-05-23,2048.04,1249.2
2016-05-24,2076.06,1227.2
2016-05-25,2090.54,1224.3
2016-05-26,2090.1,1219.8
2016-05-27,2099.06,1212.4
2016-05-31,2096.95,1215.4
2016-06-01,2099.33,1211.5
2016-06-02,2105.26,1210.2
2016-06-03,2099.13,1244.5
2016-06-06,2109.41,1244.9
2016-06-07,2112.13,1244.7
2016-06-08,2119.12,1261.3
2016-06-09,2115.48,1270.5
2016-06-10,2096.07,1275.9
2016-06-13,2079.06,1284.9
2016-06-14,2075.32,1286.3
2016-06-15,2071.5,1290.9
2016-06-16,2077.99,1281.2
2016-06-17,2071.22,1300.1
2016-06-20,2083.25,1293
2016-06-21,2088.9,1270.7
2016-06-22,2085.45,1268.9
2016-06-23,2113.32,1259.3
2016-06-24,2037.3,1319.1
2016-06-27,2000.54,1327.6
2016-06-28,2036.09,1314.5
2016-06-29,2070.77,1321.8
2016-06-30,2098.86,1324.7
2016-07-01,2102.95,1344.9
2016-07-05,2088.55,1358.7
2016-07-06,2099.73,1365.7
2016-07-07,2097.9,1361.8
2016-07-08,2129.9,1367.4
2016-07-11,2137.16,1356.1
2016-07-12,2152.14,1333.7
2016-07-13,2152.43,1343.3
2016-07-14,2163.75,1335.6
2016-07-15,2161.74,1337.7
2016-07-18,2166.89,1329.1
2016-07-19,2163.78,1332.3
2016-07-20,2173.02,1315.8
2016-07-21,2165.17,1331.2
2016-07-22,2175.03,1322.1
2016-07-25,2168.48,1315.3
2016-07-26,2169.18,1320.2
2016-07-27,2166.58,1339.9
2016-07-28,2170.06,1332.6
2016-07-29,2173.6,1349.7
2016-08-01,2170.84,1351.5
2016-08-02,2157.03,1362.6
2016-08-03,2163.79,1355.4
2016-08-04,2164.25,1358.3
2016-08-05,2182.87,1334.5
2016-08-08,2180.89,1333.6
2016-08-09,2181.74,1338.7
2016-08-10,2175.49,1344.9
2016-08-11,2185.79,1335.4
2016-08-12,2184.05,1333.2
2016-08-15,2190.15,1338.6
2016-08-16,2178.15,1345.3
2016-08-17,2182.22,1347.3
2016-08-18,2187.02,1351.2
2016-08-19,2183.87,1341.5
2016-08-22,2182.64,1339.2
2016-08-23,2186.9,1337.6
2016-08-24,2175.44,1324
2016-08-25,2172.47,1321.9
2016-08-26,2169.04,1320.7
2016-08-29,2180.38,1323.1
2016-08-30,2176.12,1310.5
2016-08-31,2170.95,1308.4
2016-09-01,2170.86,1313
2016-09-02,2179.98,1324.9
2016-09-06,2186.48,1350.6
2016-09-07,2186.15,1345.4
2016-09-08,2181.3,1338.1
2016-09-09,2127.81,1327.3
2016-09-12,2159.04,1327.4
2016-09-13,2127.02,1317.7
2016-09-14,2125.77,1321.9
2016-09-15,2147.26,1313.9
2016-09-16,2139.16,1309.1
2016-09-19,2139.12,1312.3
2016-09-20,2139.76,1314
2016-09-21,2163.12,1334.9
2016-09-22,2177.18,1337.1
2016-09-23,2164.69,1337.4
2016-09-26,2146.1,1337.7
2016-09-27,2159.93,1326.7
2016-09-28,2171.37,1320.5
2016-09-29,2151.13,1319.5
2016-09-30,2168.27,1316
2016-10-03,2161.2,1310.3
2016-10-04,2150.49,1267
2016-10-05,2159.73,1267.5
2016-10-06,2160.77,1253.9
2016-10-07,2153.74,1253.1
2016-10-10,2163.66,1257
2016-10-11,2136.73,1253.8
2016-10-12,2139.17,1253.5
2016-10-13,2132.55,1257.4
2016-10-14,2132.98,1251.6
2016-10-17,2126.5,1255
2016-10-18,2139.6,1261.7
2016-10-19,2144.29,1270
2016-10-20,2141.34,1266.2
2016-10-21,2141.16,1266.7
2016-10-24,2151.33,1265
2016-10-25,2143.16,1274.3
2016-10-26,2139.43,1267.5
2016-10-27,2133.04,1269.2
2016-10-28,2126.41,1276
2016-10-31,2126.15,1277.8
2016-11-01,2111.72,1289.1
2016-11-02,2097.94,1297.8
2016-11-03,2088.66,1303.6
2016-11-04,2085.18,1305.2
2016-11-07,2131.52,1281.5
2016-11-08,2139.56,1275.4
2016-11-09,2163.26,1278.2
2016-11-10,2167.48,1258.6
2016-11-11,2164.45,1224
2016-11-14,2164.2,1221
2016-11-15,2180.39,1228.4
2016-11-16,2176.94,1225
2016-11-17,2187.12,1216
2016-11-18,2181.9,1207.3
2016-11-21,2198.18,1214
2016-11-22,2202.94,1212
2016-11-23,2204.72,1187.8
2016-11-25,2213.35,1183.4
2016-11-28,2201.72,1193.2
2016-11-29,2204.66,1187.1
2016-11-30,2198.81,1172
2016-12-01,2191.08,1171.4
2016-12-02,2191.95,1175.7
2016-12-05,2204.71,1169.5
2016-12-06,2212.23,1167.7
2016-12-07,2241.35,1172.6
2016-12-08,2246.19,1170.6
2016-12-09,2259.53,1158.4
2016-12-12,2256.96,1162.2
2016-12-13,2271.72,1158.3
2016-12-14,2253.28,1142
2016-12-15,2262.03,1130.9
2016-12-16,2258.07,1133.2
2016-12-19,2262.52,1137.9
2016-12-20,2270.76,1133.9
2016-12-21,2265.18,1133.2
2016-12-22,2260.96,1129.9
2016-12-23,2263.79,1135.2
2016-12-27,2268.88,1139.7
2016-12-28,2249.92,1142.5
2016-12-29,2249.26,1159
2016-12-30,2238.83,1152
2017-01-03,2257.83,1159.4
2017-01-04,2270.75,1164.2
2017-01-05,2269,1180.9
2017-01-06,2276.98,1172.9
2017-01-09,2268.9,1181.1
2017-01-10,2268.9,1187.6
2017-01-11,2275.32,1191.5
2017-01-12,2270.42,1195.1
2017-01-13,2274.64,1197.4
2017-01-17,2267.88,1216.7
2017-01-18,2271.89,1203.7
2017-01-19,2263.69,1204.3
2017-01-20,2271.32,1210.2
2017-01-23,2265.2,1217.8
2017-01-24,2280.08,1208.7
2017-01-25,2298.37,1199.9
2017-01-26,2296.68,1188.1
2017-01-27,2294.69,1190.8
2017-01-30,2280.89,1194.3
2017-01-31,2278.87,1209.3
2017-02-01,2279.55,1208.7
2017-02-02,2280.85,1214.7
2017-02-03,2297.42,1219.7
2017-02-06,2292.56,1235.2
2017-02-07,2293.08,1233.2
2017-02-08,2294.67,1240.8
2017-02-09,2307.87,1230.7
2017-02-10,2316.1,1233.3
2017-02-13,2328.25,1225.9
2017-02-14,2337.58,1229
2017-02-15,2349.25,1230.5
2017-02-16,2347.22,1240.1
2017-02-17,2351.16,1236
2017-02-21,2365.38,1236.8
2017-02-22,2362.82,1238.2
2017-02-23,2363.81,1250.7
2017-02-24,2367.34,1258
2017-02-27,2369.75,1253.4
2017-02-28,2363.64,1248.8
2017-03-01,2395.96,1250
2017-03-02,2381.92,1234.4
2017-03-03,2383.12,1235
2017-03-06,2375.31,1225.5
2017-03-07,2368.39,1215.9
2017-03-08,2362.98,1208.1
2017-03-09,2364.87,1200.8
2017-03-10,2372.6,1204.5
2017-03-13,2373.47,1203.6
2017-03-14,2365.45,1198.5
2017-03-15,2385.26,1219.6
2017-03-16,2381.38,1226.3
2017-03-17,2378.25,1228.9
2017-03-20,2373.47,1234
2017-03-21,2344.02,1244.6
2017-03-22,2348.45,1248.6
2017-03-23,2345.96,1245
2017-03-24,2343.98,1243.3
2017-03-27,2341.59,1254.1
2017-03-28,2358.57,
2017-03-29,2361.13,1253.2
2017-03-30,2368.06,
2017-03-31,2362.72,1247.4
2017-04-03,2358.84,1250.8
2017-04-04,2360.16,
2017-04-05,2352.95,1255.1
2017-04-06,2357.49,1256.1
2017-04-07,2355.54,1253.9
2017-04-10,2357.16,
2017-04-11,2353.78,1272.9
2017-04-12,2344.93,1285.1
