#{"t_start": 1763753041.497539, "env_id": "None"}
r,l,t
-50.709239,887,3.754784
-52.004091,887,7.504624
-49.28377,887,11.289546
-51.586471,887,15.018167
-51.483744,887,18.721948
-51.433085,887,22.489408
-50.696209,887,26.33067
-49.909556,887,30.221184
-49.513995,887,34.331319
-49.451674,887,38.610664
-48.403696,887,42.876775
-48.582335,887,46.636716
-49.026346,887,50.614504
-49.545906,887,54.760772
-49.652231,887,59.010002
-48.908586,887,62.691266
-49.012839,887,66.43093
-49.416384,887,70.09747
-47.340292,887,73.796968
-46.961062,887,77.493712
-46.856937,887,81.187037
-47.296443,887,84.886379
-41.408771,887,88.829411
