#{"t_start": 1764673645.0892503, "env_id": "None"}
r,l,t
-73.966201,2273,53.026112
-73.273456,2273,100.047184
-72.814399,2273,147.476249
-73.71353,2273,197.120391
-72.89634,2273,245.484663
-71.787941,2273,294.444922
-70.053441,2273,342.275959
-61.824066,2273,390.305462
-49.956709,2273,438.900976
-41.234986,2273,487.198623
-23.744114,2273,536.724882
-15.829082,2273,585.827029
-11.88699,2273,634.588865
-9.621473,2273,683.150962
-9.270473,2273,731.621151
-9.076889,2273,779.559971
-8.963086,2273,827.902769
-9.065701,2273,876.256215
-9.359115,2273,924.515074
-8.912121,2273,973.004504
-8.958779,2273,1021.005768
