,Algorithm,Model,Features,Reward,Rebalance,Sharpe Ratio,CAGR,Annual Volatility,Sortino Ratio,Max Drawdown,Calmar Ratio,Final Balance
PPO_MLP_NoFeature_FullReward_Free,PPO,MLP,No,Full,Free,1.4185459798548532,0.1876873009213742,0.1323096350677181,2.101951193,-0.166313301,1.128516481827125,19854.725988194343
SAC_MLP_WithFeature_FullReward_Free,SAC,MLP,Yes,Full,Free,1.311027396697998,0.23988167284242912,0.18297228070641694,1.894235475705361,-0.205790627,1.1656588863875814,23522.665329050225
PPO_LSTM_WithFeature_FullReward_Free,PPO,LSTM,Yes,Full,Free,1.3105380118209249,0.20983669466174804,0.16011492438146893,1.9870665150156135,-0.181291935,1.1574519028206764,21340.787931696515
SAC_MLP_WithFeature_FullReward_Monthly,SAC,MLP,Yes,Full,Monthly,1.282080199982201,0.15903076248909098,0.12404119686997646,1.8597855287482126,-0.189087248,0.8410443546899427,17976.171316047617
PPO_LSTM_NoFeature_BaseReward_Free,PPO,LSTM,No,Base,Free,1.1055810831556796,0.14369121079467861,0.12996894844160886,1.583960658208678,-0.187515339,0.7662904353965594,17054.70666784928
PPO_MLP_WithFeature_FullReward_Free,PPO,MLP,Yes,Full,Free,1.0497749212968797,0.1979957688074494,0.18860782896475345,1.3969346710569486,-0.236702243,0.836476097,20495.54816284264
PPO_LSTM_NoFeature_FullReward_Free,PPO,LSTM,No,Full,Free,1.0372977743689347,0.15743493308089795,0.15177409705393163,1.4730902716896783,-0.226590501,0.6947993497730006,17889.84235349293
PPO_LSTM_WithFeature_BaseReward_Monthly,PPO,LSTM,Yes,Base,Monthly,1.0325094710181706,0.15452982670610993,0.14966431886937184,1.5140591655244777,-0.232869357,0.6635902161908066,17666.035606399248
PPO_MLP_NoFeature_BaseReward_Free,PPO,MLP,No,Base,Free,0.9825548101990919,0.13647579148419076,0.1388989093204247,1.4126712365478835,-0.217408089,0.6277401745465108,16632.085188762958
PPO_MLP_NoFeature_BaseReward_Monthly,PPO,MLP,No,Base,Monthly,0.9711902872350734,0.12876330762518928,0.1325829853506582,1.363113412217314,-0.177334077,0.7261058326498129,16169.235389328729
SAC_MLP_NoFeature_BaseReward_Monthly,SAC,MLP,No,Base,Monthly,0.9675981696584912,0.14112326224673577,0.14584903803253835,1.4134850530123937,-0.204011332,0.691742272,16895.786004813894
SAC_MLP_NoFeature_FullReward_Free,SAC,MLP,No,Full,Free,0.9666326092929968,0.19789453365971754,0.20472569594404566,1.4310117065745953,-0.207308851,0.9545879610448832,20508.003827928384
SAC_MLP_WithFeature_BaseReward_Monthly,SAC,MLP,Yes,Base,Monthly,0.9613103137544773,0.14015102110952626,0.1457916544785157,1.367983376223605,-0.203723564,0.6879470327961209,16834.89399
PPO_LSTM_WithFeature_BaseReward_Free,PPO,LSTM,Yes,Base,Free,0.9548733056920822,0.1359529590239481,0.14237800786085525,1.3110426098152157,-0.217334019,0.6255484510804956,16567.79826
PPO_MLP_WithFeature_FullReward_Monthly,PPO,MLP,Yes,Full,Monthly,0.9382447538199243,0.14943018087366688,0.1592656716334241,1.3572857070577213,-0.182757775,0.8176406213110375,17390.31806756218
PPO_LSTM_NoFeature_BaseReward_Monthly,PPO,LSTM,No,Base,Monthly,0.9300171946628281,0.13487783944367293,0.1450272534934927,1.3262130040312174,-0.208305796,0.6474992141105901,16531.416784612717
PPO_LSTM_NoFeature_FullReward_Monthly,PPO,LSTM,No,Full,Monthly,0.9233298761844363,0.1457928439126044,0.15789897811503512,1.3332668214199928,-0.220921836,0.6599295337181628,17162.71594290073
PPO_LSTM_WithFeature_FullReward_Monthly,PPO,LSTM,Yes,Full,Monthly,0.9178448027530836,0.15533415849561116,0.16923793437592607,1.2836608583242055,-0.22846853,0.6798930193618502,17759.644953132753
SAC_MLP_NoFeature_BaseReward_Free,SAC,MLP,No,Base,Free,0.9148944997036006,0.14884364913333448,0.16268941302145276,1.3172384101071783,-0.219326501,0.6786396021796923,17350.7891
PPO_MLP_WithFeature_BaseReward_Free,PPO,MLP,Yes,Base,Free,0.8939434501917927,0.15819270399294494,0.17696052693154718,1.2071865548850282,-0.213488193,0.740990411,17924.98414
SAC_MLP_WithFeature_BaseReward_Free,SAC,MLP,Yes,Base,Free,0.8108386104246045,0.14458026376031574,0.17830954508271962,1.138993247307499,-0.272400819,0.5307629560627536,17099.495630581187
PPO_MLP_NoFeature_FullReward_Monthly,PPO,MLP,No,Full,Monthly,0.7828852306129968,0.1352426571716736,0.17274902103566192,1.1448663884122465,-0.219436574,0.6163177563751914,16543.571119415872
PPO_MLP_WithFeature_BaseReward_Monthly,PPO,MLP,Yes,Base,Monthly,0.7795779320224913,0.1226105892486713,0.15727816836807781,1.123174521664522,-0.197539169,0.6206900118183957,15843.055751794944
SAC_MLP_NoFeature_FullReward_Monthly,SAC,MLP,No,Full,Monthly,0.7397098816574641,0.12853115947617755,0.17375887853245714,1.0646756374513076,-0.229831166,0.5592416463713682,16162.438646586357
